#;name;exchange_score;volume_24h;percent_change_volume_24h;effective_liquidity_24h;weekly_visits;num_market_pairs;num_coins;fiats;
1;Binance;9.9;€20654428911;107.21%;805;34051317;1615;401;AED, ARS, AUDand +43 more;
2;Coinbase Exchange;8.8;€6138769919;164.95%;707;4373686;437;148;USD, EUR, GBP;
3;FTX;8.5;€3274762967;150.36%;728;5474846;440;307;USD, EUR, GBPand +7 more;
4;Kraken;8.1;€1487822962;114.49%;735;2372787;401;106;USD, EUR, GBPand +4 more;
5;KuCoin;7.9;€3425343953;110.26%;593;4250751;1173;598;USD, AED, ARSand +45 more;
6;Huobi Global;7.9;€2749789671;141.17%;625;2666282;1065;408;ALL, AUD, BRLand +47 more;
7;Bitfinex;7.5;€1326698562;142.8%;615;923184;391;173;USD, EUR, GBPand +1 more;
8;Gate.io;7.4;€1541399462;98.51%;527;7090018;2219;1253;KRW, EUR;
9;Binance.US;7.3;€639496564;130.65%;613;1112895;147;69;USD;
10;Gemini;7.3;€323700985;202.78%;667;684051;97;77;USD,  GBP,  EURand +4 more;
11;Crypto.com Exchange;7.3;€3836536070;50.52%;655;3470032;324;165;;
12;Bybit;7.2;€447525923;151.36%;618;3621099;194;136;USD,  EUR,  GBPand +3 more;
13;Bitstamp;7.1;€480302631;159.49%;588;580465;134;53;USD, EUR, GBP;
14;FTX US;7.0;€408514441;192.72%;748;1262077;49;25;USD;
15;bitFlyer;7.0;€290660213;151.19%;578;872926;9;8;USD, JPY, EUR;
16;Coincheck;6.8;€111233304;182.03%;591;934279;1;2;JPY;
17;Bithumb;6.8;€1070374862;18.19%;438;1130397;273;195;KRW;
18;Coinone;6.5;€237162937;73.77%;487;641026;190;191;KRW;
19;MEXC;6.5;€927239445;152.29%;588;1542307;1292;1050;;
20;Poloniex;6.5;€134152989;118.24%;500;409755;435;283;;
21;Liquid;6.2;€123091614;138.39%;470;65755;231;132;USD, JPY, EURand +3 more;
22;Coinlist Pro;6.2;€13780636;101.24%;528;134097;81;47;USD;
23;Bittrex;6.0;€110898943;61.84%;400;286343;865;452;USD;
24;Blockchain.com;6.0;€86642132;296.31%;614;1242086;48;26;USD, EUR, GBPand +1 more;
25;LBank;6.0;€899120196;5.66%;443;1434880;475;467;;
26;Okcoin;5.9;€45170553;50.2%;641;202654;38;33;USD, EUR;
27;Upbit;5.9;€2983634649;93.59%;497;3124629;234;157;KRW;
28;Binance TR;5.8;€193384991;74.35%;527;971474;78;65;TRY;
29;Zaif;5.8;€6470383;195.01%;452;929459;15;9;JPY;
30;Currency.com;5.7;€736555253;180%;639;548192;46;30;USD, EUR, RUBand +1 more;
31;Korbit;5.6;€13942271;42.3%;396;80245;78;80;KRW;
32;Phemex;5.6;€538264715;148.03%;;411004;88;56;;
33;ZB.COM;5.5;€1254848080;97.59%;410;197815;248;170;AED, CNY, RUBand +9 more;
34;eToroX;5.4;€50041355;326.25%;502;16331820;25;26;USD;
35;AscendEX (Bitmax);5.4;€122446925;32.38%;454;689478;336;264;;
36;XT.COM;5.4;€689326837;97.5%;565;627599;521;451;AUD, GBP, USDand +4 more;
37;ProBit Global;5.4;€181198097;13.22%;425;594675;734;541;;
38;Deepcoin;5.4;€164582185;4.92%;644;235901;59;54;;
39;WazirX;5.3;€74473711;100.52%;463;2621501;384;225;INR;
40;WhiteBIT;5.3;€806563557;65.85%;503;2724950;159;96;USD, EUR, GBP;
