,coinbase_id,name,website_url,weekly_visits,countries,fiats,blog_url,twitter_url,date_launched,status,#,exchange_score,volume_24h,percent_change_volume_24h,effective_liquidity_24h,num_market_pairs,num_coins,
0,16,Poloniex,https://poloniex.com,409755,,,,https://twitter.com/Poloniex,2014-01-10,active,20,6.5,€134152989,118.24%,500,435,283,
1,22,Bittrex,https://bittrex.com,286343,,USD,https://support.bittrex.com/hc/en-us/sections/360000567032-Blog,https://twitter.com/BittrexExchange,2014-02-13,active,23,6.0,€110898943,61.84%,400,865,452,
2,24,Kraken,https://www.kraken.com,2372787,,"USD,EUR,GBP,CAD,JPY,CHF,AUD",https://blog.kraken.com/,https://twitter.com/krakenfx,2011-07-28,active,4,8.1,€1487822962,114.49%,735,401,106,
3,32,Bleutrade,https://bleutrade.com,3509,,,,,2014-03-21,active,270,0.1,€,40.72%,,10,8,
4,34,Bittylicious,https://bittylicious.com,4527,,"EUR,GBP",,,2013-05-22,active,216,2.7,€60142,3.61%,,9,8,
5,36,CEX.IO,https://cex.io,410730,,"USD,EUR,GBP,RUB",http://blog.cex.io/,https://twitter.com/cex_io,2013-06-30,active,69,4.5,€39171996,200.86%,490,220,107,
6,37,Bitfinex,https://www.bitfinex.com,923184,,"USD,EUR,GBP,JPY",http://blog.bitfinex.com/,https://twitter.com/bitfinex,2012-10-11,active,7,7.5,€1326698562,142.8%,615,391,173,
7,42,HitBTC,https://hitbtc.com,363773,,"USD,EUR,GBP,SGD,IDR",https://blog.hitbtc.com/,https://twitter.com/hitbtc,2013-12-01,active,73,4.4,€5645108067,56.86%,458,748,413,
8,50,EXMO,https://exmo.me/,850338,CMC-EN-UK,"USD,RUB,EUR,GBP,KZT,UAH",https://info.exmo.com/en/,https://twitter.com/Exmo_com,2015-04-05,active,68,4.5,€74026626,34.46%,470,170,62,
9,61,Okcoin,https://www.okcoin.com,202654,,"USD,EUR",,https://twitter.com/OKCoin,2013-04-20,active,26,5.9,€45170553,50.2%,641,38,33,
10,68,Indodax,https://indodax.com/,2348812,ID,IDR,https://blog.indodax.com/,https://twitter.com/indodax,2014-02-15,active,42,5.3,€51537770,49.3%,464,187,186,
11,70,Bitstamp,https://www.bitstamp.net,580465,,"USD,EUR,GBP",https://www.bitstamp.net/news/,https://twitter.com/Bitstamp,2011-07-04,active,13,7.1,€480302631,159.49%,588,134,53,
12,72,itBit,https://www.itbit.com,310,,USD,https://www.itbit.com/blog,,2013-01-01,active,271,0.1,€,0.08%,,5,6,
13,73,Zaif,https://zaif.jp,929459,,JPY,https://zaif.jp/news,,2014-05-28,active,29,5.8,€6470383,195.01%,452,15,9,
14,77,The Rock Trading,https://therocktrading.com,17650,,"EUR,GBP",https://medium.com/the-rock-trading,https://twitter.com/therocktrading,2011-01-25,active,90,4.1,€2290477,183.61%,492,19,14,
15,80,CoinMate,https://coinmate.io,45264,,"EUR,CZK",https://coinmate.io/news,,2013-12-12,active,103,3.9,€3309876,220.53%,419,17,8,
16,82,Zonda (BitBay),https://zondaglobal.com/,166601,EE,"USD,EUR,GBP,PLN",https://steemit.com/@bitbay.net,https://twitter.com/zondaglobal,2014-02-01,active,164,3.3,€23753229,118.34%,421,161,57,
17,89,Coinbase Exchange,https://pro.coinbase.com,4373686,,"USD,EUR,GBP",https://blog.coinbase.com/,https://twitter.com/CoinbasePro,2014-05-24,active,2,8.8,€6138769919,164.95%,707,437,148,
18,95,Bitex.la,https://bitex.la,3568,,USD,https://blog.bitex.la/,,2013-12-29,active,272,0.1,€,%,,1,2,
